Año,Sector IPCC,Categoría IPCC,Sub Categoría IPCC,Fuente IPCC,Sub Fuente IPCC,CO2,CH4,N2O,HFC-23,HFC-410A,HFC-43-10mee,HFC-125,HFC-134,HFC-134a,HFC-404A,HFC-407C,HFC-152a,HFC-227ea,HFC-236fa,HFC-365mfc/227ea,HFC-365mfc,HFC-245fa,PFC-CF4,PFC-C2F6,SF6,CN
2017,1 Energía,1A Actividades de quema del combustible,1A1 Industrias de la energía,1A1a Actividad principal producción de electricidad y calor,,"162,105.51",150.969,302.236,,,,,,,,,,,,,,,,,,24.393
2017,1 Energía,1A Actividades de quema del combustible,1A1 Industrias de la energía,1A1b Refinación del petróleo,,"10,829.60",6.721,8.932,,,,,,,,,,,,,,,,,,0.666
2017,1 Energía,1A Actividades de quema del combustible,1A1 Industrias de la energía,1A1c Manufactura de combustibles sólidos y otras industrias de la energía,,"23,237.72",12.278,13.296,,,,,,,,,,,,,,,,,,0.257
2017,1 Energía,1A Actividades de quema del combustible,,1A2a Hierro y acero,,"5,511.84",2.789,2.839,,,,,,,,,,,,,,,,,,0.023
2017,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2b Metales no ferrosos,,"1,818.90",1.229,1.788,,,,,,,,,,,,,,,,,,0.013
2017,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2c Sustancias químicas,,"8,795.85",4.761,5.438,,,,,,,,,,,,,,,,,,0.031
2017,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,"1A2d Pulpa, papel e imprenta",,"2,794.27",1.823,2.539,,,,,,,,,,,,,,,,,,0.044
2017,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,"1A2e Procesamiento de alimentos, bebidas y tabaco",,"1,787.87",37.93,47.978,,,,,,,,,,,,,,,,,,30.641
2017,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2f Minerales no metálicos,,0,0,0,,,,,,,,,,,,,,,,,,0
2017,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2g Equipo de transporte,,464.958,0.275,0.345,,,,,,,,,,,,,,,,,,0.001
2017,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2h Maquinaria,,0,0,0,,,,,,,,,,,,,,,,,,0
2017,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2i Minería (con excepción de combustibles) y cantería,,"14,284.88",14.791,25.55,,,,,,,,,,,,,,,,,,0.089
2017,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2j Madera y productos de la madera,,0,0,0,,,,,,,,,,,,,,,,,,0
2017,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2k Construcción,,814.782,0.939,1.778,,,,,,,,,,,,,,,,,,0.004
2017,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2l Textiles y cueros,,0,0,0,,,,,,,,,,,,,,,,,,0
2017,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2m Industria no especificada,,"46,487.09",83.777,115.782,,,,,,,,,,,,,,,,,,1.956
2017,1 Energía,1A Actividades de quema del combustible,1A3 Transporte,1A3a Aviación civil,,"6,893.13",1.329,50.312,,,,,,,,,,,,,,,,,,0.098
2017,1 Energía,1A Actividades de quema del combustible,1A3 Transporte,1A3b Autotransporte,,"155,672.92",334.782,"2,850.69",,,,,,,,,,,,,,,,,,30.286
2017,1 Energía,1A Actividades de quema del combustible,1A3 Transporte,1A3c Ferrocarriles,,"2,125.31",3.39,221.106,,,,,,,,,,,,,,,,,,0.05
2017,1 Energía,1A Actividades de quema del combustible,1A3 Transporte,1A3d Navegación marítima y fluvial,,"2,128.66",5.71,15.44,,,,,,,,,,,,,,,,,,0.071
2017,1 Energía,1A Actividades de quema del combustible,1A3 Transporte,1A3e Otro transporte,,0,0,0,,,,,,,,,,,,,,,,,,0
2017,1 Energía,1A Actividades de quema del combustible,1A4 Otros sectores,1A4a Comercial/institucional,,"4,989.05",10.398,12.745,,,,,,,,,,,,,,,,,,0
2017,1 Energía,1A Actividades de quema del combustible,1A4 Otros sectores,1A4b Residencial,,"18,088.96","2,142.06",272.798,,,,,,,,,,,,,,,,,,29.028
2017,1 Energía,1A Actividades de quema del combustible,1A4 Otros sectores,1A4c Agropecuario/silvicultura/pesca/piscifactorías,,"10,179.28",38.577,21.643,,,,,,,,,,,,,,,,,,0.255
2017,1 Energía,1B Emisiones fugitivas provenientes de la fabricación de combustibles,1B1 Combustibles sólidos,1B1a Minería carbonífera y manejo del carbón,1B1ai Minas subterráneas,0,"7,652.30",0,,,,,,,,,,,,,,,,,,0
2017,1 Energía,1B Emisiones fugitivas provenientes de la fabricación de combustibles,1B1 Combustibles sólidos,1B1a Minería carbonífera y manejo del carbón,1B1aii Minas superficie,0,116.247,0,,,,,,,,,,,,,,,,,,0
2017,1 Energía,1B Emisiones fugitivas provenientes de la fabricación de combustibles,1B1 Combustibles sólidos,1B1b Combustión espontánea y vertederos para quema de carbón,,0,0,0,,,,,,,,,,,,,,,,,,0
2017,1 Energía,1B Emisiones fugitivas provenientes de la fabricación de combustibles,1B2 Petróleo y gas natural,1B2a Petróleo,,"3,804.70","4,654.14",0,,,,,,,,,,,,,,,,,,0
2017,1 Energía,1B Emisiones fugitivas provenientes de la fabricación de combustibles,1B2 Petróleo y gas natural,1B2b Gas natural,,"1,247.24","7,684.46",0,,,,,,,,,,,,,,,,,,0
2017,1 Energía,1B Emisiones fugitivas provenientes de la fabricación de combustibles,1B2 Petróleo y gas natural,1B2ab Quemado,1B2abii Quemado en petróleo y gas,"5,383.68","6,044.52",0,,,,,,,,,,,,,,,,,,2.275
2017,2 Procesos industriales y uso de productos,2A Industria de los minerales,2A1 Producción de cemento,,,"19,728.89",0,0,,,,,,,,,,,,,,,,,,0
2017,2 Procesos industriales y uso de productos,2A Industria de los minerales,2A2 Producción de cal,,,"3,831.05",0,0,,,,,,,,,,,,,,,,,,0
2017,2 Procesos industriales y uso de productos,2A Industria de los minerales,2A3 Producción de vidrio,,,558.251,0,0,,,,,,,,,,,,,,,,,,0
2017,2 Procesos industriales y uso de productos,2A Industria de los minerales,2A4 Otros usos de carbonatos,,,0,0,0,,,,,,,,,,,,,,,,,,0
2017,2 Procesos industriales y uso de productos,2A Industria de los minerales,2A5 Otros,,,0,0,0,,,,,,,,,,,,,,,,,,0
2017,2 Procesos industriales y uso de productos,2B Industria química,2B1 Producción de amoniaco,,,846.446,0,0,,,,,,,,,,,,,,,,,,0
2017,2 Procesos industriales y uso de productos,2B Industria química,2B2 Producción de ácido nítrico,,,0,0,508.005,,,,,,,,,,,,,,,,,,0
2017,2 Procesos industriales y uso de productos,2B Industria química,2B3 Producción de ácido adípico,,,0,0,0,,,,,,,,,,,,,,,,,,0
2017,2 Procesos industriales y uso de productos,2B Industria química,"2B4 Producción de caprolactama, glioxil y ácido glioxílico",,,0,0,168.383,,,,,,,,,,,,,,,,,,0
2017,2 Procesos industriales y uso de productos,2B Industria química,2B5 Producción de carburo,,,0,0,0,,,,,,,,,,,,,,,,,,0
2017,2 Procesos industriales y uso de productos,2B Industria química,2B6 Producción de dióxido de titanio,,,386.969,0,0,,,,,,,,,,,,,,,,,,0
2017,2 Procesos industriales y uso de productos,2B Industria química,2B7 Producción de ceniza de sosa,,,0,0,0,,,,,,,,,,,,,,,,,,0
2017,2 Procesos industriales y uso de productos,2B Industria química,2B8 Producción petroquímica y negro de humo,,,"2,026.45",272.081,0,,,,,,,,,,,,,,,,,,0
2017,2 Procesos industriales y uso de productos,2B Industria química,2B9 Producción fluoroquímica,,,0,0,0,"1,804.83",,,,,,,,,,,,,,,,,0
2017,2 Procesos industriales y uso de productos,2B Industria química,2B10 Otros,,,0,0,0,,,,,,,,,,,,,,,,,,0
2017,2 Procesos industriales y uso de productos,2C Industria de los metales,2C1 Producción de hierro y acero,,,"12,951.18",0,0,,,,,,,,,,,,,,,,,,0
2017,2 Procesos industriales y uso de productos,2C Industria de los metales,2C2 Producción de ferroaleaciones,,,297.839,0,0,,,,,,,,,,,,,,,,,,0
2017,2 Procesos industriales y uso de productos,2C Industria de los metales,2C3 Producción de aluminio,,,0,0,0,,,,,,,,,,,,,,,,,,0
2017,2 Procesos industriales y uso de productos,2C Industria de los metales,2C4 Producción de magnesio,,,0,0,0,,,,,,,,,,,,,,,,,,0
