Año,Sector IPCC,Categoría IPCC,Sub Categoría IPCC,Fuente IPCC,Sub Fuente IPCC,CO2,CH4,N2O,HFC-23,HFC-410A,HFC-43-10mee,HFC-125,HFC-134,HFC-134a,HFC-404A,HFC-407C,HFC-152a,HFC-227ea,HFC-236fa,HFC-365mfc/227ea,HFC-365mfc,HFC-245fa,PFC-CF4,PFC-C2F6,SF6,CN
2015,1 Energía,1A Actividades de quema del combustible,1A1 Industrias de la energía,1A1a Actividad principal producción de electricidad y calor,,"147,387.55",135.473,292.983,,,,,,,,,,,,,,,,,,24.927
2015,1 Energía,1A Actividades de quema del combustible,1A1 Industrias de la energía,1A1b Refinación del petróleo,,"11,796.92",7.707,10.769,,,,,,,,,,,,,,,,,,0.869
2015,1 Energía,1A Actividades de quema del combustible,1A1 Industrias de la energía,1A1c Manufactura de combustibles sólidos y otras industrias de la energía,,"27,660.88",15.934,20.181,,,,,,,,,,,,,,,,,,0.314
2015,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2a Hierro y acero,,"4,330.93",2.232,2.338,,,,,,,,,,,,,,,,,,0.02
2015,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2b Metales no ferrosos,,"1,605.76",1.116,1.658,,,,,,,,,,,,,,,,,,0
2015,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2c Sustancias químicas,,"8,876.68",4.684,5.107,,,,,,,,,,,,,,,,,,0.025
2015,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,"1A2d Pulpa, papel e imprenta",,"2,392.70",1.465,1.914,,,,,,,,,,,,,,,,,,0.029
2015,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,"1A2e Procesamiento de alimentos, bebidas y tabaco",,"1,570.99",28.701,36.366,,,,,,,,,,,,,,,,,,30.104
2015,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2f Minerales no metálicos,,0,0,0,,,,,,,,,,,,,,,,,,0
2015,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2g Equipo de transporte,,444.866,0.262,0.326,,,,,,,,,,,,,,,,,,0.001
2015,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2h Maquinaria,,0,0,0,,,,,,,,,,,,,,,,,,0
2015,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2i Minería (con excepción de combustibles) y cantería,,"14,612.36",14.952,25.963,,,,,,,,,,,,,,,,,,0.146
2015,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2j Madera y productos de la madera,,0,0,0,,,,,,,,,,,,,,,,,,0
2015,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2k Construcción,,871.512,1.005,1.902,,,,,,,,,,,,,,,,,,0.004
2015,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2l Textiles y cueros,,0,0,0,,,,,,,,,,,,,,,,,,0
2015,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2m Industria no especificada,,"28,563.88",38.253,52.265,,,,,,,,,,,,,,,,,,1.345
2015,1 Energía,1A Actividades de quema del combustible,1A3 Transporte,1A3a Aviación civil,,"6,238.15",1.203,45.532,,,,,,,,,,,,,,,,,,0.088
2015,1 Energía,1A Actividades de quema del combustible,1A3 Transporte,1A3b Autotransporte,,"156,754.35",317.72,"2,872.01",,,,,,,,,,,,,,,,,,31.748
2015,1 Energía,1A Actividades de quema del combustible,1A3 Transporte,1A3c Ferrocarriles,,"2,238.66",3.571,232.898,,,,,,,,,,,,,,,,,,0.053
2015,1 Energía,1A Actividades de quema del combustible,1A3 Transporte,1A3d Navegación marítima y fluvial,,"2,624.66",7.043,19.045,,,,,,,,,,,,,,,,,,0.084
2015,1 Energía,1A Actividades de quema del combustible,1A3 Transporte,1A3e Otro transporte,,0,0,0,,,,,,,,,,,,,,,,,,0
2015,1 Energía,1A Actividades de quema del combustible,1A4 Otros sectores,1A4a Comercial/institucional,,"5,262.21",12.174,2.858,,,,,,,,,,,,,,,,,,2.376
2015,1 Energía,1A Actividades de quema del combustible,1A4 Otros sectores,1A4b Residencial,,"18,838.28","2,165.30",276.126,,,,,,,,,,,,,,,,,,29.491
2015,1 Energía,1A Actividades de quema del combustible,1A4 Otros sectores,1A4c Agropecuario/silvicultura/pesca/piscifactorías,,"10,360.10",39.157,21.917,,,,,,,,,,,,,,,,,,0.295
2015,1 Energía,1B Emisiones fugitivas provenientes de la fabricación de combustibles,1B1 Combustibles sólidos,1B1a Minería carbonífera y manejo del carbón,1B1ai Minas subterráneas,0,"7,716.09",0,,,,,,,,,,,,,,,,,,0
2015,1 Energía,1B Emisiones fugitivas provenientes de la fabricación de combustibles,1B1 Combustibles sólidos,1B1a Minería carbonífera y manejo del carbón,1B1aii Minas superficie,0,70.681,0,,,,,,,,,,,,,,,,,,0
2015,1 Energía,1B Emisiones fugitivas provenientes de la fabricación de combustibles,1B1 Combustibles sólidos,1B1b Combustión espontánea y vertederos para quema de carbón,,0,0,0,,,,,,,,,,,,,,,,,,0
2015,1 Energía,1B Emisiones fugitivas provenientes de la fabricación de combustibles,1B2 Petróleo y gas natural,1B2a Petróleo,,"5,162.17","5,181.16",0,,,,,,,,,,,,,,,,,,0
2015,1 Energía,1B Emisiones fugitivas provenientes de la fabricación de combustibles,1B2 Petróleo y gas natural,1B2b Gas natural,,"1,568.11","8,892.59",0,,,,,,,,,,,,,,,,,,0
2015,1 Energía,1B Emisiones fugitivas provenientes de la fabricación de combustibles,1B2 Petróleo y gas natural,1B2ab Quemado,1B2abii Quemado en petróleo y gas,"8,774.05","7,054.02",0,,,,,,,,,,,,,,,,,,4.045
2015,2 Procesos industriales y uso de productos,2A Industria de los minerales,2A1 Producción de cemento,,,"19,159.98",0,0,,,,,,,,,,,,,,,,,,0
